aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
59,164,2023-07-03:18,22,36,26,16,103,2023-07-03T23:30:00,2023-07-03T18:00:00,1688407200
63,168.7,2023-07-03:17,21.3,44.3,28.7,18,78,2023-07-03T22:30:00,2023-07-03T17:00:00,1688403600
67,173.3,2023-07-03:16,20.7,52.7,31.3,20,53,2023-07-03T21:30:00,2023-07-03T16:00:00,1688400000
72,178,2023-07-03:15,20,61,34,22,28,2023-07-03T20:30:00,2023-07-03T15:00:00,1688396400
72,151,2023-07-03:14,14.3,74,34.3,22.33,22.3,2023-07-03T19:30:00,2023-07-03T14:00:00,1688392800
73,124,2023-07-03:13,8.7,87,34.7,22.67,16.7,2023-07-03T18:30:00,2023-07-03T13:00:00,1688389200
74,97,2023-07-03:12,3,100,35,23,11,2023-07-03T17:30:00,2023-07-03T12:00:00,1688385600
74,93.3,2023-07-03:11,2.7,99.7,36.7,23.33,12.7,2023-07-03T16:30:00,2023-07-03T11:00:00,1688382000
75,89.7,2023-07-03:10,2.3,99.3,38.3,23.67,14.3,2023-07-03T15:30:00,2023-07-03T10:00:00,1688378400
76,86,2023-07-03:09,2,99,40,24,16,2023-07-03T14:30:00,2023-07-03T09:00:00,1688374800
74,85.7,2023-07-03:08,2.7,88,40,23,19.3,2023-07-03T13:30:00,2023-07-03T08:00:00,1688371200
72,85.3,2023-07-03:07,3.3,77,40,22,22.7,2023-07-03T12:30:00,2023-07-03T07:00:00,1688367600
69,85,2023-07-03:06,4,66,40,21,26,2023-07-03T11:30:00,2023-07-03T06:00:00,1688364000
63,87,2023-07-03:05,5.7,56,34,18,32.7,2023-07-03T10:30:00,2023-07-03T05:00:00,1688360400
56,89,2023-07-03:04,7.3,46,28,15,39.3,2023-07-03T09:30:00,2023-07-03T04:00:00,1688356800
50,91,2023-07-03:03,9,36,22,12,46,2023-07-03T08:30:00,2023-07-03T03:00:00,1688353200
47,99.7,2023-07-03:02,11.3,30.3,19.7,11.33,54.3,2023-07-03T07:30:00,2023-07-03T02:00:00,1688349600
44,108.3,2023-07-03:01,13.7,24.7,17.3,10.67,62.7,2023-07-03T06:30:00,2023-07-03T01:00:00,1688346000
42,117,2023-07-03:00,16,19,15,10,71,2023-07-03T05:30:00,2023-07-03T00:00:00,1688342400
43,123,2023-07-02:23,17,18.7,15.3,10.33,73.7,2023-07-03T04:30:00,2023-07-02T23:00:00,1688338800
44,129,2023-07-02:22,18,18.3,15.7,10.67,76.3,2023-07-03T03:30:00,2023-07-02T22:00:00,1688335200
46,135,2023-07-02:21,19,18,16,11,79,2023-07-03T02:30:00,2023-07-02T21:00:00,1688331600
50,141.7,2023-07-02:20,19.7,21.3,17.3,12,79.7,2023-07-03T01:30:00,2023-07-02T20:00:00,1688328000
52,148.3,2023-07-02:19,20.3,24.7,18.7,13,80.3,2023-07-03T00:30:00,2023-07-02T19:00:00,1688324400
54,155,2023-07-02:18,21,28,20,14,81,2023-07-02T23:30:00,2023-07-02T18:00:00,1688320800
58,147.3,2023-07-02:17,19,39.7,23.3,15.67,70.3,2023-07-02T22:30:00,2023-07-02T17:00:00,1688317200
62,139.7,2023-07-02:16,17,51.3,26.7,17.33,59.7,2023-07-02T21:30:00,2023-07-02T16:00:00,1688313600
65,132,2023-07-02:15,15,63,30,19,49,2023-07-02T20:30:00,2023-07-02T15:00:00,1688310000
68,118.7,2023-07-02:14,11,77.7,34.7,20.33,41,2023-07-02T19:30:00,2023-07-02T14:00:00,1688306400
71,105.3,2023-07-02:13,7,92.3,39.3,21.67,33,2023-07-02T18:30:00,2023-07-02T13:00:00,1688302800
74,92,2023-07-02:12,3,107,44,23,25,2023-07-02T17:30:00,2023-07-02T12:00:00,1688299200
71,88.3,2023-07-02:11,2.7,97.7,41.3,21.67,23.7,2023-07-02T16:30:00,2023-07-02T11:00:00,1688295600
68,84.7,2023-07-02:10,2.3,88.3,38.7,20.33,22.3,2023-07-02T15:30:00,2023-07-02T10:00:00,1688292000
65,81,2023-07-02:09,2,79,36,19,21,2023-07-02T14:30:00,2023-07-02T09:00:00,1688288400
62,83,2023-07-02:08,3,69,32.7,17.33,26,2023-07-02T13:30:00,2023-07-02T08:00:00,1688284800
58,85,2023-07-02:07,4,59,29.3,15.67,31,2023-07-02T12:30:00,2023-07-02T07:00:00,1688281200
54,87,2023-07-02:06,5,49,26,14,36,2023-07-02T11:30:00,2023-07-02T06:00:00,1688277600
52,88.3,2023-07-02:05,6.3,42,23.7,13,35.3,2023-07-02T10:30:00,2023-07-02T05:00:00,1688274000
50,89.7,2023-07-02:04,7.7,35,21.3,12,34.7,2023-07-02T09:30:00,2023-07-02T04:00:00,1688270400
46,91,2023-07-02:03,9,28,19,11,34,2023-07-02T08:30:00,2023-07-02T03:00:00,1688266800
44,92.3,2023-07-02:02,9.3,26.3,18,10.67,34.7,2023-07-02T07:30:00,2023-07-02T02:00:00,1688263200
43,93.7,2023-07-02:01,9.7,24.7,17,10.33,35.3,2023-07-02T06:30:00,2023-07-02T01:00:00,1688259600
42,95,2023-07-02:00,10,23,16,10,36,2023-07-02T05:30:00,2023-07-02T00:00:00,1688256000
42,98.7,2023-07-01:23,10.7,24,15.3,10,36.3,2023-07-02T04:30:00,2023-07-01T23:00:00,1688252400
42,102.3,2023-07-01:22,11.3,25,14.7,10,36.7,2023-07-02T03:30:00,2023-07-01T22:00:00,1688248800
42,106,2023-07-01:21,12,26,14,10,37,2023-07-02T02:30:00,2023-07-01T21:00:00,1688245200
40,108.7,2023-07-01:20,12,28,13.3,9.67,35.3,2023-07-02T01:30:00,2023-07-01T20:00:00,1688241600
39,111.3,2023-07-01:19,12,30,12.7,9.33,33.7,2023-07-02T00:30:00,2023-07-01T19:00:00,1688238000
37,114,2023-07-01:18,12,32,12,9,32,2023-07-01T23:30:00,2023-07-01T18:00:00,1688234400
37,117.3,2023-07-01:17,12.7,34.3,12.3,9,33,2023-07-01T22:30:00,2023-07-01T17:00:00,1688230800
37,120.7,2023-07-01:16,13.3,36.7,12.7,9,34,2023-07-01T21:30:00,2023-07-01T16:00:00,1688227200
37,124,2023-07-01:15,14,39,13,9,35,2023-07-01T20:30:00,2023-07-01T15:00:00,1688223600
40,122.3,2023-07-01:14,13.7,38.3,14,9.67,31.3,2023-07-01T19:30:00,2023-07-01T14:00:00,1688220000
43,120.7,2023-07-01:13,13.3,37.7,15,10.33,27.7,2023-07-01T18:30:00,2023-07-01T13:00:00,1688216400
46,119,2023-07-01:12,13,37,16,11,24,2023-07-01T17:30:00,2023-07-01T12:00:00,1688212800
48,173.6,2023-07-01:11,11.8,31.7,15.6,11.6,20.4,2023-07-01T16:30:00,2023-07-01T11:00:00,1688209200
50,228.2,2023-07-01:10,10.7,26.3,15.3,12.2,16.8,2023-07-01T15:30:00,2023-07-01T10:00:00,1688205600
52,282.8,2023-07-01:09,9.5,21,14.9,12.81,13.1,2023-07-01T14:30:00,2023-07-01T09:00:00,1688202000
