aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
16,101,2023-07-03:18,9,35,5,3,14,2023-07-03T23:30:00,2023-07-03T18:00:00,1688407200
16,108,2023-07-03:17,10.3,35.7,5.3,3.33,14.7,2023-07-03T22:30:00,2023-07-03T17:00:00,1688403600
17,115,2023-07-03:16,11.7,36.3,5.7,3.67,15.3,2023-07-03T21:30:00,2023-07-03T16:00:00,1688400000
17,122,2023-07-03:15,13,37,6,4,16,2023-07-03T20:30:00,2023-07-03T15:00:00,1688396400
19,117.3,2023-07-03:14,11.7,41.3,6.7,4.33,15,2023-07-03T19:30:00,2023-07-03T14:00:00,1688392800
21,112.7,2023-07-03:13,10.3,45.7,7.3,4.67,14,2023-07-03T18:30:00,2023-07-03T13:00:00,1688389200
23,108,2023-07-03:12,9,50,8,5,13,2023-07-03T17:30:00,2023-07-03T12:00:00,1688385600
26,98,2023-07-03:11,6.7,55.3,7.3,4.67,11.3,2023-07-03T16:30:00,2023-07-03T11:00:00,1688382000
28,88,2023-07-03:10,4.3,60.7,6.7,4.33,9.7,2023-07-03T15:30:00,2023-07-03T10:00:00,1688378400
31,78,2023-07-03:09,2,66,6,4,8,2023-07-03T14:30:00,2023-07-03T09:00:00,1688374800
28,78.7,2023-07-03:08,2.3,60,6,4,8,2023-07-03T13:30:00,2023-07-03T08:00:00,1688371200
25,79.3,2023-07-03:07,2.7,54,6,4,8,2023-07-03T12:30:00,2023-07-03T07:00:00,1688367600
22,80,2023-07-03:06,3,48,6,4,8,2023-07-03T11:30:00,2023-07-03T06:00:00,1688364000
19,85,2023-07-03:05,4.3,41.7,5.7,3.67,9.3,2023-07-03T10:30:00,2023-07-03T05:00:00,1688360400
16,90,2023-07-03:04,5.7,35.3,5.3,3.33,10.7,2023-07-03T09:30:00,2023-07-03T04:00:00,1688356800
13,95,2023-07-03:03,7,29,5,3,12,2023-07-03T08:30:00,2023-07-03T03:00:00,1688353200
13,88,2023-07-03:02,6.3,29,4,2.67,11.7,2023-07-03T07:30:00,2023-07-03T02:00:00,1688349600
13,81,2023-07-03:01,5.7,29,3,2.33,11.3,2023-07-03T06:30:00,2023-07-03T01:00:00,1688346000
13,74,2023-07-03:00,5,29,2,2,11,2023-07-03T05:30:00,2023-07-03T00:00:00,1688342400
14,75.7,2023-07-02:23,5.3,29.7,2.3,2,10.7,2023-07-03T04:30:00,2023-07-02T23:00:00,1688338800
14,77.3,2023-07-02:22,5.7,30.3,2.7,2,10.3,2023-07-03T03:30:00,2023-07-02T22:00:00,1688335200
14,79,2023-07-02:21,6,31,3,2,10,2023-07-03T02:30:00,2023-07-02T21:00:00,1688331600
15,87.3,2023-07-02:20,7.3,31.7,4.7,3,11.7,2023-07-03T01:30:00,2023-07-02T20:00:00,1688328000
17,95.7,2023-07-02:19,8.7,32.3,6.3,4,13.3,2023-07-03T00:30:00,2023-07-02T19:00:00,1688324400
21,104,2023-07-02:18,10,33,8,5,15,2023-07-02T23:30:00,2023-07-02T18:00:00,1688320800
26,111,2023-07-02:17,11,34.3,10.3,6.33,15,2023-07-02T22:30:00,2023-07-02T17:00:00,1688317200
32,118,2023-07-02:16,12,35.7,12.7,7.67,15,2023-07-02T21:30:00,2023-07-02T16:00:00,1688313600
37,125,2023-07-02:15,13,37,15,9,15,2023-07-02T20:30:00,2023-07-02T15:00:00,1688310000
