aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
180,300,2023-07-03:18,14,91,125,78,49,2023-07-03T23:30:00,2023-07-03T18:00:00,1688407200
181,319.7,2023-07-03:17,18,94.3,125.3,79,48.7,2023-07-03T22:30:00,2023-07-03T17:00:00,1688403600
183,339.3,2023-07-03:16,22,97.7,125.7,80,48.3,2023-07-03T21:30:00,2023-07-03T16:00:00,1688400000
184,359,2023-07-03:15,26,101,126,81,48,2023-07-03T20:30:00,2023-07-03T15:00:00,1688396400
177,299.7,2023-07-03:14,18.3,125,122,76,41.7,2023-07-03T19:30:00,2023-07-03T14:00:00,1688392800
171,240.3,2023-07-03:13,10.7,149,118,71,35.3,2023-07-03T18:30:00,2023-07-03T13:00:00,1688389200
164,181,2023-07-03:12,3,173,114,66,29,2023-07-03T17:30:00,2023-07-03T12:00:00,1688385600
160,176.7,2023-07-03:11,2.7,177.3,110.7,62.67,33.7,2023-07-03T16:30:00,2023-07-03T11:00:00,1688382000
155,172.3,2023-07-03:10,2.3,181.7,107.3,59.33,38.3,2023-07-03T15:30:00,2023-07-03T10:00:00,1688378400
151,168,2023-07-03:09,2,186,104,56,43,2023-07-03T14:30:00,2023-07-03T09:00:00,1688374800
152,167,2023-07-03:08,2,185,104.3,56.67,47.7,2023-07-03T13:30:00,2023-07-03T08:00:00,1688371200
153,166,2023-07-03:07,2,184,104.7,57.33,52.3,2023-07-03T12:30:00,2023-07-03T07:00:00,1688367600
153,165,2023-07-03:06,2,183,105,58,57,2023-07-03T11:30:00,2023-07-03T06:00:00,1688364000
149,163.7,2023-07-03:05,2.7,167,92.7,53.67,47,2023-07-03T10:30:00,2023-07-03T05:00:00,1688360400
138,162.3,2023-07-03:04,3.3,151,80.3,49.33,37,2023-07-03T09:30:00,2023-07-03T04:00:00,1688356800
126,161,2023-07-03:03,4,135,68,45,27,2023-07-03T08:30:00,2023-07-03T03:00:00,1688353200
135,172,2023-07-03:02,5.3,117.7,72,48.33,26,2023-07-03T07:30:00,2023-07-03T02:00:00,1688349600
144,183,2023-07-03:01,6.7,100.3,76,51.67,25,2023-07-03T06:30:00,2023-07-03T01:00:00,1688346000
153,194,2023-07-03:00,8,83,80,55,24,2023-07-03T05:30:00,2023-07-03T00:00:00,1688342400
152,218.7,2023-07-02:23,9.7,73,84.3,57,23.3,2023-07-03T04:30:00,2023-07-02T23:00:00,1688338800
155,243.3,2023-07-02:22,11.3,63,88.7,59,22.7,2023-07-03T03:30:00,2023-07-02T22:00:00,1688335200
157,268,2023-07-02:21,13,53,93,61,22,2023-07-03T02:30:00,2023-07-02T21:00:00,1688331600
165,295,2023-07-02:20,15,62,100.3,67,27.3,2023-07-03T01:30:00,2023-07-02T20:00:00,1688328000
173,322,2023-07-02:19,17,71,107.7,73,32.7,2023-07-03T00:30:00,2023-07-02T19:00:00,1688324400
181,349,2023-07-02:18,19,80,115,79,38,2023-07-02T23:30:00,2023-07-02T18:00:00,1688320800
176,345.3,2023-07-02:17,20,94,110,74.67,38.7,2023-07-02T22:30:00,2023-07-02T17:00:00,1688317200
170,341.7,2023-07-02:16,21,108,105,70.33,39.3,2023-07-02T21:30:00,2023-07-02T16:00:00,1688313600
164,338,2023-07-02:15,22,122,100,66,40,2023-07-02T20:30:00,2023-07-02T15:00:00,1688310000
161,285.3,2023-07-02:14,15.7,144.3,100.7,63.67,36.7,2023-07-02T19:30:00,2023-07-02T14:00:00,1688306400
158,232.7,2023-07-02:13,9.3,166.7,101.3,61.33,33.3,2023-07-02T18:30:00,2023-07-02T13:00:00,1688302800
155,180,2023-07-02:12,3,189,102,59,30,2023-07-02T17:30:00,2023-07-02T12:00:00,1688299200
150,177.3,2023-07-02:11,2.7,189,94,54,31.3,2023-07-02T16:30:00,2023-07-02T11:00:00,1688295600
137,174.7,2023-07-02:10,2.3,189,86,49,32.7,2023-07-02T15:30:00,2023-07-02T10:00:00,1688292000
123,172,2023-07-02:09,2,189,78,44,34,2023-07-02T14:30:00,2023-07-02T09:00:00,1688288400
125,172,2023-07-02:08,2,184,75.7,44.67,37,2023-07-02T13:30:00,2023-07-02T08:00:00,1688284800
127,172,2023-07-02:07,2,179,73.3,45.33,40,2023-07-02T12:30:00,2023-07-02T07:00:00,1688281200
129,172,2023-07-02:06,2,174,71,46,43,2023-07-02T11:30:00,2023-07-02T06:00:00,1688277600
129,176,2023-07-02:05,3,158.3,71.7,46,44,2023-07-02T10:30:00,2023-07-02T05:00:00,1688274000
129,180,2023-07-02:04,4,142.7,72.3,46,45,2023-07-02T09:30:00,2023-07-02T04:00:00,1688270400
129,184,2023-07-02:03,5,127,73,46,46,2023-07-02T08:30:00,2023-07-02T03:00:00,1688266800
125,197.3,2023-07-02:02,8.7,104.7,69,44.67,38.7,2023-07-02T07:30:00,2023-07-02T02:00:00,1688263200
121,210.7,2023-07-02:01,12.3,82.3,65,43.33,31.3,2023-07-02T06:30:00,2023-07-02T01:00:00,1688259600
118,224,2023-07-02:00,16,60,61,42,24,2023-07-02T05:30:00,2023-07-02T00:00:00,1688256000
121,217,2023-07-01:23,14,64.7,66.7,43,23.7,2023-07-02T04:30:00,2023-07-01T23:00:00,1688252400
123,210,2023-07-01:22,12,69.3,72.3,44,23.3,2023-07-02T03:30:00,2023-07-01T22:00:00,1688248800
126,203,2023-07-01:21,10,74,78,45,23,2023-07-02T02:30:00,2023-07-01T21:00:00,1688245200
139,228.7,2023-07-01:20,11.7,77.7,82.3,50,27,2023-07-02T01:30:00,2023-07-01T20:00:00,1688241600
153,254.3,2023-07-01:19,13.3,81.3,86.7,55,31,2023-07-02T00:30:00,2023-07-01T19:00:00,1688238000
156,280,2023-07-01:18,15,85,91,60,35,2023-07-01T23:30:00,2023-07-01T18:00:00,1688234400
153,290.3,2023-07-01:17,18,89,89.7,57.33,35.7,2023-07-01T22:30:00,2023-07-01T17:00:00,1688230800
152,300.7,2023-07-01:16,21,93,88.3,54.67,36.3,2023-07-01T21:30:00,2023-07-01T16:00:00,1688227200
145,311,2023-07-01:15,24,97,87,52,37,2023-07-01T20:30:00,2023-07-01T15:00:00,1688223600
134,257.3,2023-07-01:14,17,119,84.3,48,30.7,2023-07-01T19:30:00,2023-07-01T14:00:00,1688220000
123,203.7,2023-07-01:13,10,141,81.7,44,24.3,2023-07-01T18:30:00,2023-07-01T13:00:00,1688216400
112,150,2023-07-01:12,3,163,79,40,18,2023-07-01T17:30:00,2023-07-01T12:00:00,1688212800
104,288.5,2023-07-01:11,3.8,151.4,63.9,36.91,15.6,2023-07-01T16:30:00,2023-07-01T11:00:00,1688209200
97,427,2023-07-01:10,4.5,139.7,48.8,33.82,13.2,2023-07-01T15:30:00,2023-07-01T10:00:00,1688205600
90,565.6,2023-07-01:09,5.3,128.1,33.7,30.73,10.8,2023-07-01T14:30:00,2023-07-01T09:00:00,1688202000
100,566.9,2023-07-01:08,5.1,134.3,38.3,34.92,11.8,2023-07-01T13:30:00,2023-07-01T08:00:00,1688198400
110,568.2,2023-07-01:07,4.9,140.4,43,39.12,12.8,2023-07-01T12:30:00,2023-07-01T07:00:00,1688194800
121,569.5,2023-07-01:06,4.7,146.6,47.6,43.31,13.8,2023-07-01T11:30:00,2023-07-01T06:00:00,1688191200
104,575.8,2023-07-01:05,5.8,117.9,41.8,37,10.8,2023-07-01T10:30:00,2023-07-01T05:00:00,1688187600
90,582.1,2023-07-01:04,6.8,89.1,35.9,30.7,7.9,2023-07-01T09:30:00,2023-07-01T04:00:00,1688184000
77,588.3,2023-07-01:03,7.9,60.4,30.1,24.4,4.9,2023-07-01T08:30:00,2023-07-01T03:00:00,1688180400
78,572.6,2023-07-01:02,7.7,52.6,29.7,24.74,4.5,2023-07-01T07:30:00,2023-07-01T02:00:00,1688176800
78,556.8,2023-07-01:01,7.5,44.7,29.3,25.08,4,2023-07-01T06:30:00,2023-07-01T01:00:00,1688173200
79,541,2023-07-01:00,7.3,36.9,28.8,25.42,3.6,2023-07-01T05:30:00,2023-07-01T00:00:00,1688169600
83,551.5,2023-06-30:23,8.5,36.3,31.1,27.36,4.9,2023-07-01T04:30:00,2023-06-30T23:00:00,1688166000
87,562,2023-06-30:22,9.6,35.7,33.4,29.29,6.3,2023-07-01T03:30:00,2023-06-30T22:00:00,1688162400
92,572.4,2023-06-30:21,10.7,35,35.6,31.23,7.6,2023-07-01T02:30:00,2023-06-30T21:00:00,1688158800
109,771.9,2023-06-30:20,15.7,29.8,47.7,38.61,7.4,2023-07-01T01:30:00,2023-06-30T20:00:00,1688155200
129,971.4,2023-06-30:19,20.7,24.6,59.7,45.99,7.2,2023-07-01T00:30:00,2023-06-30T19:00:00,1688151600
149,1170.9,2023-06-30:18,25.7,19.4,71.7,53.38,7.1,2023-06-30T23:30:00,2023-06-30T18:00:00,1688148000
143,1183.8,2023-06-30:17,27.6,24,70.7,51.18,8.9,2023-06-30T22:30:00,2023-06-30T17:00:00,1688144400
137,1196.8,2023-06-30:16,29.4,28.5,69.6,48.99,10.7,2023-06-30T21:30:00,2023-06-30T16:00:00,1688140800
131,1209.8,2023-06-30:15,31.3,33.1,68.5,46.79,12.6,2023-06-30T20:30:00,2023-06-30T15:00:00,1688137200
