aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
102,167,2023-07-03:18,5,106,52,36,9,2023-07-03T23:30:00,2023-07-03T18:00:00,1688407200
103,166.7,2023-07-03:17,5.3,108,52.7,36.67,9,2023-07-03T22:30:00,2023-07-03T17:00:00,1688403600
105,166.3,2023-07-03:16,5.7,110,53.3,37.33,9,2023-07-03T21:30:00,2023-07-03T16:00:00,1688400000
107,166,2023-07-03:15,6,112,54,38,9,2023-07-03T20:30:00,2023-07-03T15:00:00,1688396400
103,157.7,2023-07-03:14,4.3,119.3,52.3,36.67,8,2023-07-03T19:30:00,2023-07-03T14:00:00,1688392800
100,149.3,2023-07-03:13,2.7,126.7,50.7,35.33,7,2023-07-03T18:30:00,2023-07-03T13:00:00,1688389200
98,141,2023-07-03:12,1,134,49,34,6,2023-07-03T17:30:00,2023-07-03T12:00:00,1688385600
98,140.7,2023-07-03:11,1,135.3,50.3,34.33,5.7,2023-07-03T16:30:00,2023-07-03T11:00:00,1688382000
99,140.3,2023-07-03:10,1,136.7,51.7,34.67,5.3,2023-07-03T15:30:00,2023-07-03T10:00:00,1688378400
100,140,2023-07-03:09,1,138,53,35,5,2023-07-03T14:30:00,2023-07-03T09:00:00,1688374800
95,137.7,2023-07-03:08,1,139.3,49.3,32.67,5.7,2023-07-03T13:30:00,2023-07-03T08:00:00,1688371200
90,135.3,2023-07-03:07,1,140.7,45.7,30.33,6.3,2023-07-03T12:30:00,2023-07-03T07:00:00,1688367600
85,133,2023-07-03:06,1,142,42,28,7,2023-07-03T11:30:00,2023-07-03T06:00:00,1688364000
76,128.3,2023-07-03:05,1,135.7,35.7,24,5.7,2023-07-03T10:30:00,2023-07-03T05:00:00,1688360400
67,123.7,2023-07-03:04,1,129.3,29.3,20,4.3,2023-07-03T09:30:00,2023-07-03T04:00:00,1688356800
59,119,2023-07-03:03,1,123,23,16,3,2023-07-03T08:30:00,2023-07-03T03:00:00,1688353200
59,120,2023-07-03:02,2.3,112,22.7,16,2.7,2023-07-03T07:30:00,2023-07-03T02:00:00,1688349600
59,121,2023-07-03:01,3.7,101,22.3,16,2.3,2023-07-03T06:30:00,2023-07-03T01:00:00,1688346000
59,122,2023-07-03:00,5,90,22,16,2,2023-07-03T05:30:00,2023-07-03T00:00:00,1688342400
70,130.3,2023-07-02:23,6,84,30,21.33,2.7,2023-07-03T04:30:00,2023-07-02T23:00:00,1688338800
82,138.7,2023-07-02:22,7,78,38,26.67,3.3,2023-07-03T03:30:00,2023-07-02T22:00:00,1688335200
93,147,2023-07-02:21,8,72,46,32,4,2023-07-03T02:30:00,2023-07-02T21:00:00,1688331600
98,146.3,2023-07-02:20,7.7,75.3,48.7,34,4,2023-07-03T01:30:00,2023-07-02T20:00:00,1688328000
102,145.7,2023-07-02:19,7.3,78.7,51.3,36,4,2023-07-03T00:30:00,2023-07-02T19:00:00,1688324400
107,145,2023-07-02:18,7,82,54,38,4,2023-07-02T23:30:00,2023-07-02T18:00:00,1688320800
110,143.7,2023-07-02:17,6.3,89.7,56,39,4.3,2023-07-02T22:30:00,2023-07-02T17:00:00,1688317200
112,142.3,2023-07-02:16,5.7,97.3,58,40,4.7,2023-07-02T21:30:00,2023-07-02T16:00:00,1688313600
115,141,2023-07-02:15,5,105,60,41,5,2023-07-02T20:30:00,2023-07-02T15:00:00,1688310000
113,135.3,2023-07-02:14,3.7,113.7,59,40.33,4.7,2023-07-02T19:30:00,2023-07-02T14:00:00,1688306400
112,129.7,2023-07-02:13,2.3,122.3,58,39.67,4.3,2023-07-02T18:30:00,2023-07-02T13:00:00,1688302800
110,124,2023-07-02:12,1,131,57,39,4,2023-07-02T17:30:00,2023-07-02T12:00:00,1688299200
106,127,2023-07-02:11,1,132,55.7,37.67,3.7,2023-07-02T16:30:00,2023-07-02T11:00:00,1688295600
103,130,2023-07-02:10,1,133,54.3,36.33,3.3,2023-07-02T15:30:00,2023-07-02T10:00:00,1688292000
