aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
173,266,2023-07-03:18,17,104,208,73,48,2023-07-03T23:30:00,2023-07-03T18:00:00,1688407200
184,293.7,2023-07-03:17,21.3,112,208.7,81,58.3,2023-07-03T22:30:00,2023-07-03T17:00:00,1688403600
184,321.3,2023-07-03:16,25.7,120,209.3,81,68.7,2023-07-03T21:30:00,2023-07-03T16:00:00,1688400000
181,349,2023-07-03:15,30,128,210,79,79,2023-07-03T20:30:00,2023-07-03T15:00:00,1688396400
185,298,2023-07-03:14,23,162.3,200.3,82,82.3,2023-07-03T19:30:00,2023-07-03T14:00:00,1688392800
180,247,2023-07-03:13,16,196.7,190.7,78,85.7,2023-07-03T18:30:00,2023-07-03T13:00:00,1688389200
173,196,2023-07-03:12,9,231,181,73,89,2023-07-03T17:30:00,2023-07-03T12:00:00,1688385600
131,186.3,2023-07-03:11,7.3,224.3,185.3,47,84.7,2023-07-03T16:30:00,2023-07-03T11:00:00,1688382000
131,176.7,2023-07-03:10,5.7,217.7,189.7,47,80.3,2023-07-03T15:30:00,2023-07-03T10:00:00,1688378400
148,167,2023-07-03:09,4,211,194,53,76,2023-07-03T14:30:00,2023-07-03T09:00:00,1688374800
148,166.7,2023-07-03:08,3.7,201,192.7,53,72.7,2023-07-03T13:30:00,2023-07-03T08:00:00,1688371200
142,166.3,2023-07-03:07,3.3,191,191.3,51,69.3,2023-07-03T12:30:00,2023-07-03T07:00:00,1688367600
118,166,2023-07-03:06,3,181,190,36,66,2023-07-03T11:30:00,2023-07-03T06:00:00,1688364000
105,170.3,2023-07-03:05,5,157,164,31,59,2023-07-03T10:30:00,2023-07-03T05:00:00,1688360400
107,174.7,2023-07-03:04,7,133,138,38,52,2023-07-03T09:30:00,2023-07-03T04:00:00,1688356800
91,179,2023-07-03:03,9,109,112,31,45,2023-07-03T08:30:00,2023-07-03T03:00:00,1688353200
89,183.7,2023-07-03:02,10.7,96.3,115.3,30,41.3,2023-07-03T07:30:00,2023-07-03T02:00:00,1688349600
91,188.3,2023-07-03:01,12.3,83.7,118.7,31,37.7,2023-07-03T06:30:00,2023-07-03T01:00:00,1688346000
95,193,2023-07-03:00,14,71,122,33,34,2023-07-03T05:30:00,2023-07-03T00:00:00,1688342400
100,220,2023-07-02:23,15.7,71,122.7,35,35,2023-07-03T04:30:00,2023-07-02T23:00:00,1688338800
100,247,2023-07-02:22,17.3,71,123.3,35,36,2023-07-03T03:30:00,2023-07-02T22:00:00,1688335200
100,274,2023-07-02:21,19,71,124,35,37,2023-07-03T02:30:00,2023-07-02T21:00:00,1688331600
95,293,2023-07-02:20,20.7,78,138,33,41,2023-07-03T01:30:00,2023-07-02T20:00:00,1688328000
137,312,2023-07-02:19,22.3,85,152,49,45,2023-07-03T00:30:00,2023-07-02T19:00:00,1688324400
148,331,2023-07-02:18,24,92,166,53,49,2023-07-02T23:30:00,2023-07-02T18:00:00,1688320800
148,350.3,2023-07-02:17,27.7,99.3,166.7,53,58,2023-07-02T22:30:00,2023-07-02T17:00:00,1688317200
157,369.7,2023-07-02:16,31.3,106.7,167.3,61,67,2023-07-02T21:30:00,2023-07-02T16:00:00,1688313600
160,389,2023-07-02:15,35,114,168,63,76,2023-07-02T20:30:00,2023-07-02T15:00:00,1688310000
155,330,2023-07-02:14,26.3,156.3,162.7,59,81.3,2023-07-02T19:30:00,2023-07-02T14:00:00,1688306400
163,271,2023-07-02:13,17.7,198.7,157.3,65,86.7,2023-07-02T18:30:00,2023-07-02T13:00:00,1688302800
150,212,2023-07-02:12,9,241,152,54,92,2023-07-02T17:30:00,2023-07-02T12:00:00,1688299200
126,210,2023-07-02:11,7.7,248.7,153.7,41,94,2023-07-02T16:30:00,2023-07-02T11:00:00,1688295600
129,208,2023-07-02:10,6.3,256.3,155.3,35,96,2023-07-02T15:30:00,2023-07-02T10:00:00,1688292000
