aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
89,187,2023-07-03:18,11,93,43,30,23,2023-07-03T23:30:00,2023-07-03T18:00:00,1688407200
88,189.3,2023-07-03:17,11.3,94.7,42.7,29.67,21.3,2023-07-03T22:30:00,2023-07-03T17:00:00,1688403600
87,191.7,2023-07-03:16,11.7,96.3,42.3,29.33,19.7,2023-07-03T21:30:00,2023-07-03T16:00:00,1688400000
87,194,2023-07-03:15,12,98,42,29,18,2023-07-03T20:30:00,2023-07-03T15:00:00,1688396400
82,179.7,2023-07-03:14,9,111.3,39,27,14.7,2023-07-03T19:30:00,2023-07-03T14:00:00,1688392800
78,165.3,2023-07-03:13,6,124.7,36,25,11.3,2023-07-03T18:30:00,2023-07-03T13:00:00,1688389200
74,151,2023-07-03:12,3,138,33,23,8,2023-07-03T17:30:00,2023-07-03T12:00:00,1688385600
70,151,2023-07-03:11,2.7,135.7,29.3,20.33,7.7,2023-07-03T16:30:00,2023-07-03T11:00:00,1688382000
67,151,2023-07-03:10,2.3,133.3,25.7,17.67,7.3,2023-07-03T15:30:00,2023-07-03T10:00:00,1688378400
64,151,2023-07-03:09,2,131,22,15,7,2023-07-03T14:30:00,2023-07-03T09:00:00,1688374800
59,151,2023-07-03:08,2.7,124,23.3,16,9.3,2023-07-03T13:30:00,2023-07-03T08:00:00,1688371200
61,151,2023-07-03:07,3.3,117,24.7,17,11.7,2023-07-03T12:30:00,2023-07-03T07:00:00,1688367600
63,151,2023-07-03:06,4,110,26,18,14,2023-07-03T11:30:00,2023-07-03T06:00:00,1688364000
68,153.7,2023-07-03:05,5,101,29.7,20.33,17.3,2023-07-03T10:30:00,2023-07-03T05:00:00,1688360400
73,156.3,2023-07-03:04,6,92,33.3,22.67,20.7,2023-07-03T09:30:00,2023-07-03T04:00:00,1688356800
78,159,2023-07-03:03,7,83,37,25,24,2023-07-03T08:30:00,2023-07-03T03:00:00,1688353200
77,160.7,2023-07-03:02,9.7,75.3,36.3,24.67,23.3,2023-07-03T07:30:00,2023-07-03T02:00:00,1688349600
77,162.3,2023-07-03:01,12.3,67.7,35.7,24.33,22.7,2023-07-03T06:30:00,2023-07-03T01:00:00,1688346000
76,164,2023-07-03:00,15,60,35,24,22,2023-07-03T05:30:00,2023-07-03T00:00:00,1688342400
74,176.3,2023-07-02:23,15.7,56.7,33.3,23,24.3,2023-07-03T04:30:00,2023-07-02T23:00:00,1688338800
72,188.7,2023-07-02:22,16.3,53.3,31.7,22,26.7,2023-07-03T03:30:00,2023-07-02T22:00:00,1688335200
69,201,2023-07-02:21,17,50,30,21,29,2023-07-03T02:30:00,2023-07-02T21:00:00,1688331600
72,199,2023-07-02:20,16.3,56,31.3,22,27.3,2023-07-03T01:30:00,2023-07-02T20:00:00,1688328000
74,197,2023-07-02:19,15.7,62,32.7,23,25.7,2023-07-03T00:30:00,2023-07-02T19:00:00,1688324400
76,195,2023-07-02:18,15,68,34,24,24,2023-07-02T23:30:00,2023-07-02T18:00:00,1688320800
74,193.7,2023-07-02:17,14,72.3,33.3,23.33,22,2023-07-02T22:30:00,2023-07-02T17:00:00,1688317200
73,192.3,2023-07-02:16,13,76.7,32.7,22.67,20,2023-07-02T21:30:00,2023-07-02T16:00:00,1688313600
72,191,2023-07-02:15,12,81,32,22,18,2023-07-02T20:30:00,2023-07-02T15:00:00,1688310000
69,177.3,2023-07-02:14,9,93,30.7,21,14.7,2023-07-02T19:30:00,2023-07-02T14:00:00,1688306400
67,163.7,2023-07-02:13,6,105,29.3,20,11.3,2023-07-02T18:30:00,2023-07-02T13:00:00,1688302800
65,150,2023-07-02:12,3,117,28,19,8,2023-07-02T17:30:00,2023-07-02T12:00:00,1688299200
64,153,2023-07-02:11,3,118.3,27,18.33,7.7,2023-07-02T16:30:00,2023-07-02T11:00:00,1688295600
62,156,2023-07-02:10,3,119.7,26,17.67,7.3,2023-07-02T15:30:00,2023-07-02T10:00:00,1688292000
61,159,2023-07-02:09,3,121,25,17,7,2023-07-02T14:30:00,2023-07-02T09:00:00,1688288400
