aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
25,100,2023-07-03:18,12,30,19,6,47,2023-07-03T23:30:00,2023-07-03T18:00:00,1688407200
29,103,2023-07-03:17,12.7,31.3,19,7,47.3,2023-07-03T22:30:00,2023-07-03T17:00:00,1688403600
37,106,2023-07-03:16,13.3,32.7,19,9,47.7,2023-07-03T21:30:00,2023-07-03T16:00:00,1688400000
50,109,2023-07-03:15,14,34,19,12,48,2023-07-03T20:30:00,2023-07-03T15:00:00,1688396400
50,102.7,2023-07-03:14,11.7,39.7,18.7,12,44,2023-07-03T19:30:00,2023-07-03T14:00:00,1688392800
21,96.3,2023-07-03:13,9.3,45.3,18.3,5,40,2023-07-03T18:30:00,2023-07-03T13:00:00,1688389200
25,90,2023-07-03:12,7,51,18,6,36,2023-07-03T17:30:00,2023-07-03T12:00:00,1688385600
24,80.7,2023-07-03:11,5.3,52.3,17,1,28.3,2023-07-03T16:30:00,2023-07-03T11:00:00,1688382000
25,71.3,2023-07-03:10,3.7,53.7,16,1,20.7,2023-07-03T15:30:00,2023-07-03T10:00:00,1688378400
33,62,2023-07-03:09,2,55,15,8,13,2023-07-03T14:30:00,2023-07-03T09:00:00,1688374800
25,62.7,2023-07-03:08,2,53.7,14.7,1,14,2023-07-03T13:30:00,2023-07-03T08:00:00,1688371200
24,63.3,2023-07-03:07,2,52.3,14.3,1,15,2023-07-03T12:30:00,2023-07-03T07:00:00,1688367600
24,64,2023-07-03:06,2,51,14,1,16,2023-07-03T11:30:00,2023-07-03T06:00:00,1688364000
21,67.7,2023-07-03:05,3,45.3,15,3,19,2023-07-03T10:30:00,2023-07-03T05:00:00,1688360400
18,71.3,2023-07-03:04,4,39.7,16,4,22,2023-07-03T09:30:00,2023-07-03T04:00:00,1688356800
29,75,2023-07-03:03,5,34,17,7,25,2023-07-03T08:30:00,2023-07-03T03:00:00,1688353200
33,71.7,2023-07-03:02,5,33.3,16.7,8,25.7,2023-07-03T07:30:00,2023-07-03T02:00:00,1688349600
29,68.3,2023-07-03:01,5,32.7,16.3,7,26.3,2023-07-03T06:30:00,2023-07-03T01:00:00,1688346000
42,65,2023-07-03:00,5,32,16,10,27,2023-07-03T05:30:00,2023-07-03T00:00:00,1688342400
25,65.3,2023-07-02:23,5,32.7,15.7,6,25.3,2023-07-03T04:30:00,2023-07-02T23:00:00,1688338800
25,65.7,2023-07-02:22,5,33.3,15.3,6,23.7,2023-07-03T03:30:00,2023-07-02T22:00:00,1688335200
25,66,2023-07-02:21,5,34,15,6,22,2023-07-03T02:30:00,2023-07-02T21:00:00,1688331600
46,72.3,2023-07-02:20,6,33.3,16.3,11,25,2023-07-03T01:30:00,2023-07-02T20:00:00,1688328000
42,78.7,2023-07-02:19,7,32.7,17.7,10,28,2023-07-03T00:30:00,2023-07-02T19:00:00,1688324400
69,85,2023-07-02:18,8,32,19,14.25,31,2023-07-02T23:30:00,2023-07-02T18:00:00,1688320800
25,84.3,2023-07-02:17,8,33.3,19,6,29.7,2023-07-02T22:30:00,2023-07-02T17:00:00,1688317200
37,83.7,2023-07-02:16,8,34.7,19,9,28.3,2023-07-02T21:30:00,2023-07-02T16:00:00,1688313600
42,83,2023-07-02:15,8,36,19,10,27,2023-07-02T20:30:00,2023-07-02T15:00:00,1688310000
18,80.3,2023-07-02:14,7.3,37.3,19.3,4,25,2023-07-02T19:30:00,2023-07-02T14:00:00,1688306400
29,77.7,2023-07-02:13,6.7,38.7,19.7,7,23,2023-07-02T18:30:00,2023-07-02T13:00:00,1688302800
29,75,2023-07-02:12,6,40,20,7,21,2023-07-02T17:30:00,2023-07-02T12:00:00,1688299200
21,70.7,2023-07-02:11,4.7,43.3,18.7,5,19.7,2023-07-02T16:30:00,2023-07-02T11:00:00,1688295600
35,66.3,2023-07-02:10,3.3,46.7,17.3,8.33,18.3,2023-07-02T15:30:00,2023-07-02T10:00:00,1688292000
37,62,2023-07-02:09,2,50,16,9,17,2023-07-02T14:30:00,2023-07-02T09:00:00,1688288400
42,63.7,2023-07-02:08,2,49.7,18,10,18.7,2023-07-02T13:30:00,2023-07-02T08:00:00,1688284800
