aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
54,149,2023-07-03:18,4,77,19,14,11,2023-07-03T23:30:00,2023-07-03T18:00:00,1688407200
56,154.7,2023-07-03:17,5,75.3,20.3,14.67,10,2023-07-03T22:30:00,2023-07-03T17:00:00,1688403600
57,160.3,2023-07-03:16,6,73.7,21.7,15.33,9,2023-07-03T21:30:00,2023-07-03T16:00:00,1688400000
59,166,2023-07-03:15,7,72,23,16,8,2023-07-03T20:30:00,2023-07-03T15:00:00,1688396400
56,154.7,2023-07-03:14,5.7,78,21.3,15,10,2023-07-03T19:30:00,2023-07-03T14:00:00,1688392800
54,143.3,2023-07-03:13,4.3,84,19.7,14,12,2023-07-03T18:30:00,2023-07-03T13:00:00,1688389200
52,132,2023-07-03:12,3,90,18,13,14,2023-07-03T17:30:00,2023-07-03T12:00:00,1688385600
46,131.7,2023-07-03:11,2.3,93,15.3,11,16,2023-07-03T16:30:00,2023-07-03T11:00:00,1688382000
44,131.3,2023-07-03:10,1.7,96,12.7,9,18,2023-07-03T15:30:00,2023-07-03T10:00:00,1688378400
46,131,2023-07-03:09,1,99,10,7,20,2023-07-03T14:30:00,2023-07-03T09:00:00,1688374800
43,140,2023-07-03:08,1.3,93,9.7,6.67,23.3,2023-07-03T13:30:00,2023-07-03T08:00:00,1688371200
40,149,2023-07-03:07,1.7,87,9.3,6.33,26.7,2023-07-03T12:30:00,2023-07-03T07:00:00,1688367600
37,158,2023-07-03:06,2,81,9,6,30,2023-07-03T11:30:00,2023-07-03T06:00:00,1688364000
34,160.3,2023-07-03:05,3,74,8,5.33,24.7,2023-07-03T10:30:00,2023-07-03T05:00:00,1688360400
31,162.7,2023-07-03:04,4,67,7,4.67,19.3,2023-07-03T09:30:00,2023-07-03T04:00:00,1688356800
28,165,2023-07-03:03,5,60,6,4,14,2023-07-03T08:30:00,2023-07-03T03:00:00,1688353200
29,155.7,2023-07-03:02,4,63.7,6,4,10.3,2023-07-03T07:30:00,2023-07-03T02:00:00,1688349600
31,146.3,2023-07-03:01,3,67.3,6,4,6.7,2023-07-03T06:30:00,2023-07-03T01:00:00,1688346000
33,137,2023-07-03:00,2,71,6,4,3,2023-07-03T05:30:00,2023-07-03T00:00:00,1688342400
32,137,2023-07-02:23,2.3,70,6,4,4.3,2023-07-03T04:30:00,2023-07-02T23:00:00,1688338800
32,137,2023-07-02:22,2.7,69,6,4,5.7,2023-07-03T03:30:00,2023-07-02T22:00:00,1688335200
31,137,2023-07-02:21,3,68,6,4,7,2023-07-03T02:30:00,2023-07-02T21:00:00,1688331600
32,140,2023-07-02:20,3.3,68.7,8.7,6,7,2023-07-03T01:30:00,2023-07-02T20:00:00,1688328000
33,143,2023-07-02:19,3.7,69.3,11.3,8,7,2023-07-03T00:30:00,2023-07-02T19:00:00,1688324400
42,146,2023-07-02:18,4,70,14,10,7,2023-07-02T23:30:00,2023-07-02T18:00:00,1688320800
43,152,2023-07-02:17,5.3,68.3,14.7,10.33,7,2023-07-02T22:30:00,2023-07-02T17:00:00,1688317200
44,158,2023-07-02:16,6.7,66.7,15.3,10.67,7,2023-07-02T21:30:00,2023-07-02T16:00:00,1688313600
46,164,2023-07-02:15,8,65,16,11,7,2023-07-02T20:30:00,2023-07-02T15:00:00,1688310000
47,154.3,2023-07-02:14,7,69,16.3,11.33,6.3,2023-07-02T19:30:00,2023-07-02T14:00:00,1688306400
49,144.7,2023-07-02:13,6,73,16.7,11.67,5.7,2023-07-02T18:30:00,2023-07-02T13:00:00,1688302800
50,135,2023-07-02:12,5,77,17,12,5,2023-07-02T17:30:00,2023-07-02T12:00:00,1688299200
39,129,2023-07-02:11,3.7,82.3,13.3,9.33,4,2023-07-02T16:30:00,2023-07-02T11:00:00,1688295600
41,123,2023-07-02:10,2.3,87.7,9.7,6.67,3,2023-07-02T15:30:00,2023-07-02T10:00:00,1688292000
43,117,2023-07-02:09,1,93,6,4,2,2023-07-02T14:30:00,2023-07-02T09:00:00,1688288400
43,119.7,2023-07-02:08,1,92.3,7.3,5,2.7,2023-07-02T13:30:00,2023-07-02T08:00:00,1688284800
42,122.3,2023-07-02:07,1,91.7,8.7,6,3.3,2023-07-02T12:30:00,2023-07-02T07:00:00,1688281200
42,125,2023-07-02:06,1,91,10,7,4,2023-07-02T11:30:00,2023-07-02T06:00:00,1688277600
40,138,2023-07-02:05,1.7,86.3,8.3,6,5.3,2023-07-02T10:30:00,2023-07-02T05:00:00,1688274000
38,151,2023-07-02:04,2.3,81.7,6.7,5,6.7,2023-07-02T09:30:00,2023-07-02T04:00:00,1688270400
36,164,2023-07-02:03,3,77,5,4,8,2023-07-02T08:30:00,2023-07-02T03:00:00,1688266800
35,164.7,2023-07-02:02,3,76.3,7.3,5.33,8.7,2023-07-02T07:30:00,2023-07-02T02:00:00,1688263200
35,165.3,2023-07-02:01,3,75.7,9.7,6.67,9.3,2023-07-02T06:30:00,2023-07-02T01:00:00,1688259600
35,166,2023-07-02:00,3,75,12,8,10,2023-07-02T05:30:00,2023-07-02T00:00:00,1688256000
33,163.7,2023-07-01:23,3,71.3,9,6,9.7,2023-07-02T04:30:00,2023-07-01T23:00:00,1688252400
31,161.3,2023-07-01:22,3,67.7,6,4,9.3,2023-07-02T03:30:00,2023-07-01T22:00:00,1688248800
30,159,2023-07-01:21,3,64,3,2,9,2023-07-02T02:30:00,2023-07-01T21:00:00,1688245200
29,157.3,2023-07-01:20,3.3,63.3,5,3.33,9.7,2023-07-02T01:30:00,2023-07-01T20:00:00,1688241600
29,155.7,2023-07-01:19,3.7,62.7,7,4.67,10.3,2023-07-02T00:30:00,2023-07-01T19:00:00,1688238000
29,154,2023-07-01:18,4,62,9,6,11,2023-07-01T23:30:00,2023-07-01T18:00:00,1688234400
33,154,2023-07-01:17,4.3,61.7,12,8,10.3,2023-07-01T22:30:00,2023-07-01T17:00:00,1688230800
42,154,2023-07-01:16,4.7,61.3,15,10,9.7,2023-07-01T21:30:00,2023-07-01T16:00:00,1688227200
50,154,2023-07-01:15,5,61,18,12,9,2023-07-01T20:30:00,2023-07-01T15:00:00,1688223600
49,149,2023-07-01:14,5,63.7,17,11.67,8.3,2023-07-01T19:30:00,2023-07-01T14:00:00,1688220000
47,144,2023-07-01:13,5,66.3,16,11.33,7.7,2023-07-01T18:30:00,2023-07-01T13:00:00,1688216400
46,139,2023-07-01:12,5,69,15,11,7,2023-07-01T17:30:00,2023-07-01T12:00:00,1688212800
42,183.3,2023-07-01:11,3.7,64.1,12.9,10.04,4.7,2023-07-01T16:30:00,2023-07-01T11:00:00,1688209200
38,227.6,2023-07-01:10,2.3,59.2,10.8,9.08,2.5,2023-07-01T15:30:00,2023-07-01T10:00:00,1688205600
34,271.9,2023-07-01:09,1,54.3,8.7,8.12,0.2,2023-07-01T14:30:00,2023-07-01T09:00:00,1688202000
31,271.6,2023-07-01:08,1,55.3,8,7.43,0.2,2023-07-01T13:30:00,2023-07-01T08:00:00,1688198400
28,271.3,2023-07-01:07,1.1,56.3,7.4,6.75,0.3,2023-07-01T12:30:00,2023-07-01T07:00:00,1688194800
26,271.1,2023-07-01:06,1.2,57.3,6.8,6.07,0.3,2023-07-01T11:30:00,2023-07-01T06:00:00,1688191200
27,298.9,2023-07-01:05,2.6,48.5,7.7,6.6,0.4,2023-07-01T10:30:00,2023-07-01T05:00:00,1688187600
30,326.6,2023-07-01:04,4.1,39.7,8.5,7.13,0.4,2023-07-01T09:30:00,2023-07-01T04:00:00,1688184000
